"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
48 2374549 0 1 0 0 1 0 0 2020-02-17
49 2374547.60027472 1.27167300188305 0.906409994664751 0.122251850870221 0.0993904273175824 2.39972527557984 0.00316671512233623 0.246180932305713 2020-02-18
50 2374545.99833308 2.50523423590035 0.824630063716192 0.458612883959712 0.213189738506374 4.00166692305356 0.00623852446979107 0.484983874726356 2020-02-19
51 2374543.88353886 3.98954210509055 0.753805206464678 1.00960990739184 0.363503921358589 6.11646114103496 0.00993474210483334 0.77232841575606 2020-02-20
52 2374540.90958631 5.99546557644525 0.693809939576407 1.82610764404221 0.575030525942258 9.09041368681937 0.0149298848668342 1.16065160071067 2020-02-21
53 2374536.62601687 8.84123593386755 0.64521801025808 3.00756037455228 0.879968815504448 13.3739831349812 0.0220164110510035 1.71155926225636 2020-02-22
54 2374530.40449781 12.9511458606589 0.609418560896026 4.71159155173204 1.32334621420106 19.5955021884292 0.0322508926334054 2.50718947220167 2020-02-23
55 2374521.34519338 18.9220904295482 0.588867223379497 7.174010653037 1.96983831688047 28.654806623701 0.0471197153833848 3.66309409433195 2020-02-24
56 2374508.14837655 27.6100569103208 0.587492705383191 10.7408707149534 2.91320311364444 41.8516234452836 0.0687544554433479 5.34498219363916 2020-02-25
57 2374488.93342939 40.2492930343388 0.611306240726721 15.9162537900481 4.28971754681427 61.0665706126019 0.100228631673746 7.79178961035347 2020-02-26
58 2374460.98184682 58.6196411997501 0.669290284867182 23.4317262251872 6.2974954720587 89.0181531826966 0.145974400634672 11.348072893434 2020-02-27
59 2374420.37330245 85.2817572722157 0.774676064434017 34.3459885706458 9.22427564415403 129.62669755239 0.212368297521008 16.5095448931095 2020-02-28
60 2374361.47325751 123.905920544236 0.946764403225461 50.1867281508987 13.4873293877758 188.526742487215 0.308550037433685 23.9867285006517 2020-02-29
61 2374276.21858166 179.726638795801 1.21349665613527 73.1507564737454 19.6905264165076 273.781418344006 0.447554571118955 34.7929628398224 2020-03-01
62 2374153.13400273 260.161805420166 1.61504857581192 106.383643661375 28.7054996121713 396.865997271612 0.647853907614922 50.3642648022215 2020-03-02
63 2373976.00037448 375.6390567408 2.20879020151887 154.365524184372 41.7862543926543 573.999625521246 0.935414906001601 72.7193021019985 2020-03-03
64 2373722.09022831 540.669115695133 3.07602315749907 223.435057453196 60.7295753845264 827.909771692473 1.34637211163298 104.667179985452 2020-03-04
65 2373359.89708056 775.188663806742 4.33094312616556 322.48635462991 88.096957876585 1190.10291944165 1.930371770656 150.067405446352 2020-03-05
66 2372846.3261281 1106.15316022342 6.13224314222612 463.871185886509 127.517282645616 1703.67387190042 2.75453826173282 214.138238252663 2020-03-06
67 2372123.4075871 1569.27761356832 8.69759624843622 664.525013956542 184.092189125343 2426.59241290111 3.90780895927798 303.793683897256 2020-03-07
68 2371114.76225977 2210.68715772016 12.3208442461909 947.303385682847 264.926352579383 3435.23774023075 5.50504449079333 427.963025650414 2020-03-08
69 2369722.31633788 3088.03791527768 17.3909279378377 1342.45369453347 379.801124373955 4827.68366212491 7.68981990667188 597.807810539933 2020-03-09
70 2367824.10417794 4270.4342867213 24.4103907620019 1889.0537669552 541.997377621817 6725.89582206216 10.6342187139923 826.705837505871 2020-03-10
71 2365274.39071967 5836.23478576354 34.0095631949036 2636.11466025638 769.2502711155 9275.60928033199 14.5333689763131 1129.82639293811 2020-03-11
72 2361907.58197479 7867.78633966608 46.9506772948993 3642.90061869095 1084.78038955226 12642.4180252058 19.5923306889724 1523.11087316712 2020-03-12
73 2357547.29020183 10442.3972229196 64.1146743858668 4977.90358279434 1518.2943180677 17002.7097981693 26.003616613937 2021.52525062519 2020-03-13
74 2352021.19823907 13619.6526013646 86.4633142534978 6715.89762663182 2106.7882186786 22528.8017609306 33.9156054975159 2636.60451241712 2020-03-14
75 2345180.87805588 17426.5148878806 114.971739103597 8932.69653652114 2894.93878061021 29369.1219441174 43.3954390345262 3373.56826447148 2020-03-15
76 2336923.75689105 21843.1844745506 150.532327345433 11697.6794498366 3934.84685721551 37626.2431089501 54.3938123189789 4228.58353563211 2020-03-16
77 2327212.6366892 26793.7747923064 193.839177674849 15064.8106844781 5284.93865634166 47337.3633108032 66.7217529141749 5186.95957891062 2020-03-17
78 2316087.60564207 32145.6369751152 245.271165140864 19063.5485488717 7007.93766880477 58462.3943579346 80.0489391341105 6223.0171344179 2020-03-18
79 2303666.3511235 37719.363455783 304.797454114553 23691.4999503548 9167.98801624904 70883.6488765031 93.9286109585183 7302.02500782245 2020-03-19
80 2290131.97222186 43308.359908758 371.927641308807 28910.5445464534 11827.1956816157 84418.0277781379 107.846308008084 8383.98896821898 2020-03-20
81 2275710.8227163 48703.9179158665 445.72073800624 34647.5330615886 15042.0055682399 98839.1772837033 121.282305398334 9428.50552124216 2020-03-21
82 2260645.58334903 53720.0695201811 524.853601346986 40799.6071795481 18859.8863498895 113904.416650968 133.773506452216 10399.5734582892 2020-03-22
83 2245169.46864397 58212.9062572742 607.735920362745 47243.1386060887 23316.7505722978 129380.531356025 144.961550875957 11269.3337936876 2020-03-23
84 2229486.20500985 62091.1607460676 692.649952181198 53844.592210803 28435.392081095 145063.794990149 154.61916499511 12020.1182361946 2020-03-24
85 2213758.10958198 65317.5182726142 777.890900353172 60471.4390851107 34225.0421599417 160791.890418021 162.653427855333 12644.7030961867 2020-03-25
86 2198102.31051523 67902.3564393793 861.886870028157 67001.4818988717 40681.9642764849 176447.689484766 169.090181721592 13145.0973554116 2020-03-26
87 2182593.3250895 69892.8236136605 943.286845993674 73329.6943472698 47790.8701035743 191956.6749105 174.046835273233 13530.4283830916 2020-03-27
88 2167269.72133458 71360.2008605302 1021.01167970465 79372.1849088258 55526.8812163565 207280.278665418 177.700892338967 13814.4953548238 2020-03-28
89 2152142.57082749 72387.9157283976 1094.27066621388 85067.4855551583 63857.7572227369 222407.429172508 180.260103872676 14013.4488624798 2020-03-29
90 2137203.94254749 73061.6756989791 1162.55050294991 90375.6934196408 72746.1378309355 237346.057452507 181.937898309222 14143.8808661965 2020-03-30
